source_name	english_name	ja_display	category	note
睿尔曼智能	RealMan Robotics / Realman Intelligent Technology (Beijing) Co., Ltd.	睿爾曼智能（RealMan Robotics、中国のロボットアーム・フィジカルAI関連企業）	company	Search hints: RealMan Robotics; Realman Intelligent Technology Beijing; 睿尔曼智能; needs-review for exact Japanese display.
它石智航	TARS Robotics Co., Ltd.	它石智航（TARS Robotics、中国のフィジカルAI企業）	company	Search hints: TARS Robotics; 它石智航; needs-review if official English name differs.
纬钛机器人	ViTai Robotics	緯鈦ロボット（ViTai Robotics）	company	Search hints: ViTai Robotics; 纬钛机器人; needs-review.
国家地方共建人形机器人创新中心	National and Local Co-Built Humanoid Robotics Innovation Center	国家地方共建ヒューマノイドロボットイノベーションセンター	institute	Use Japanese display in body text; keep English name mainly as search support.
国家地方共建具身智能机器人创新中心	National and Local Co-Built Embodied AI Robotics Innovation Center	国家地方共建フィジカルAIロボットイノベーションセンター	institute	Search hints: 国家地方共建具身智能机器人创新中心; embodied AI robotics innovation center; needs-review for official English name.
OmniVTA	OmniVTA	OmniVTA（視覚・触覚世界モデルフレームワーク）	model/framework	Search hints: OmniVTA; visuo-tactile world model.
OmniViTac	OmniViTac	OmniViTac（大規模な視覚・触覚・動作データセット）	dataset	Use for the visuo-tactile-action dataset.
白虎-VTouch	白虎-VTouch	白虎-VTouch（視覚ベース触覚センサーを用いた視触覚マルチモーダルデータセット）	dataset	Do not translate 白虎 as White Tiger in body text unless the source does so.
OpenLoong	OpenLoong	OpenLoong（ヒューマノイドロボットのオープンソースコミュニティ）	platform/community	Search hints: OpenLoong humanoid robot open source.
银河通用	Galaxea AI	銀河通用（Galaxea AI、中国の汎用ロボット企業）	company	Search hints: Galaxea AI; 银河通用; needs-review for exact Japanese display.
OpenWBT	Open Whole-Body Teleoperation	OpenWBT（Open Whole-Body Teleoperation、全身遠隔操作フレームワーク）	framework	Search hints: OpenWBT; Open Whole-Body Teleoperation.
R2S2	R2S2	R2S2	framework	Search hints: OpenWBT R2S2; needs-review for expansion.
宇树科技	Unitree Robotics	宇樹科技（Unitree Robotics、中国のロボット企業）	company	Search hints: Unitree Robotics; 宇树科技.
原力灵机	Dexmal	Dexmal（原力霊機、中国のフィジカルAI企業）	company	Search hints: Dexmal; 原力灵机.
Dexbotic	Dexbotic	Dexbotic（VLA開発ツールボックス）	framework	Search hints: Dexbotic; Dexmal VLA toolbox.
Dexdata	Dexdata	Dexdata（Dexboticの統一データ形式）	framework	Search hints: Dexdata; Dexbotic data format.
DexboticVLM	DexboticVLM	DexboticVLM（Dexboticの基盤モデル）	model	Search hints: DexboticVLM; Dexmal.
starVLA	starVLA	starVLA（VLA手法の統一評価・開発フレームワーク）	framework	Search hints: starVLA; Hong Kong University of Science and Technology; VLA.
香港科技大学	Hong Kong University of Science and Technology	香港科技大学（HKUST）	institute	Search hints: HKUST; Hong Kong University of Science and Technology.
