zh	en	ja	note	status
开源	open source	オープンソース		confirmed
开源社	Kaiyuanshe	開源社		confirmed
中国开源年度报告	China Open Source Annual Report	中国オープンソース年度報告		confirmed
具身智能	embodied intelligence	フィジカルAI（Embodied AI）	Use フィジカルAI（Embodied AI） on first appearance, then フィジカルAI. Chapter title may use オープンソースフィジカルAI編.	confirmed
フィジカルAI	embodied AI	フィジカルAI	Short Japanese form after first appearance.	confirmed
商业化	commercialization	商業化		confirmed
大事记	milestones	主な出来事		confirmed
开源 AI	open source AI	オープンソースAI	AI is kept as AI in Japanese technical prose.	Confirmed
开源社区	open source community	オープンソースコミュニティ		Confirmed
开源生态	open source ecosystem	オープンソースエコシステム		Confirmed
开源协作	open source collaboration	オープンソースコラボレーション		Confirmed
中国开源力量	China open source power	中国オープンソースの力	May also be rendered as 中国のオープンソース力 depending on sentence flow.	Confirmed
智能体	agent	エージェント	Used for AI agents in the preface.	Confirmed
数据篇	data section	データ編	Chapter title.	Confirmed
问卷篇	questionnaire section	アンケート編	Chapter title.	Confirmed
问卷调查	questionnaire survey	アンケート調査	Use for survey activity/context; use アンケート for the instrument or chapter context.	Confirmed
受访者	respondent	回答者	Use in questionnaire/survey analysis contexts.	Confirmed
有效样本	valid response	有効回答	Use for valid survey responses, not physical samples.	Confirmed
单选	single choice	単一選択	Question type in questionnaires.	Confirmed
多选	multiple choice	複数選択	Question type in questionnaires.	Confirmed
开放题	open-ended question	自由記述	Question type in questionnaires.	Confirmed
卷首语	preface	巻頭言	Chapter title.	Confirmed
开源人工智能篇	open source AI section	オープンソースAI編	Chapter title.	Confirmed
开源具身智能篇	open source embodied intelligence section	オープンソースフィジカルAI編	Chapter title follows the confirmed 具身智能 glossary entry.	Confirmed
开源大事记	open source milestones	オープンソースの主な出来事	Chapter title.	Confirmed
数字主权	digital sovereignty	デジタル主権		Confirmed
模型平权	model democratization	モデルの平等化	Used for access to advanced model capabilities becoming more equal.	Confirmed
开源软件安全	open source software security	オープンソースソフトウェアセキュリティ	Chapter title.	Confirmed
开源商业	open source business	オープンソースビジネス	Chapter title.	Confirmed
开源许可	open source licensing	オープンソースライセンス		Confirmed
合规治理	compliance governance	コンプライアンスガバナンス		Confirmed
开源教育	open source education	オープンソース教育	Chapter title.	Confirmed
开源政策	open source policy	オープンソース政策	Chapter title.	Confirmed
开源外交	open source diplomacy	オープンソース外交	Chapter title.	Confirmed
供应链安全	supply chain security	サプライチェーンセキュリティ		Confirmed
供应链	supply chain	サプライチェーン	Use in manufacturing, robotics, and industrial contexts.	confirmed
数字公共基础设施	digital public infrastructure	デジタル公共インフラ	Abbreviated as DPI in the source.	Confirmed
开源鸿蒙	OpenHarmony	OpenHarmony	Keep official project name.	confirmed
开源欧拉	openEuler	openEuler	Keep official project name.	confirmed
开源中国	OSCHINA	OSCHINA	Organization/platform name; keep Chinese name for now.	Confirmed
开放原子开源基金会	OpenAtom Foundation	OpenAtom Foundation	Foundation name; keep Chinese name until official Japanese usage is confirmed.	Confirmed
新质生产力	new quality productive forces	新質生産力	Explain briefly as growth driven by innovation and advanced technology when first used.	Confirmed
国资委	State-owned Assets Supervision and Administration Commission	国有資産監督管理委員会	Chinese government body supervising state-owned enterprises; add role explanation when useful.	Confirmed
国家发改委	National Development and Reform Commission	国家発展改革委員会	Chinese macroeconomic planning agency; common Japanese rendering.	Confirmed
工信部	Ministry of Industry and Information Technology	工業情報化部	Chinese ministry; often abbreviated MIIT in English contexts.	Confirmed
十五五	15th Five-Year Plan	十五五計画	China's 15th Five-Year Plan; explain as 第15次五カ年計画 when useful.	Confirmed
